city,type,company_id,company_name,sector,registered_address,address_confidence
sydney,Listed company,sydney-coh,Cochlear,Healthcare & Life Sciences,"1 University Avenue, Macquarie University NSW 2109",high
sydney,Listed company,sydney-wtc,WiseTech Global,"Technology, Media & Telecom","33 Bourke Road, Alexandria NSW 2015",medium
sydney,Listed company,sydney-ask,Abacus Storage King,Financial Services,"Level 34, Australia Square, 264-278 George Street, Sydney NSW 2000",medium
sydney,Listed company,sydney-aub,AUB Group,Financial Services,"Level 14, 141 Walker Street, North Sydney NSW 2060",medium
sydney,Listed company,sydney-bga,Bega Cheese,Consumer & Retail,"23-45 Ridge Street, Bega NSW 2550",high
sydney,Listed company,sydney-brg,Breville Group,Consumer & Retail,"Ground Floor, Suite 2, 170-180 Bourke Road, Alexandria NSW 2015",medium
sydney,Listed company,sydney-bsl,BlueScope,Energy & Natural Resources,"Level 24, 181 William Street, Melbourne VIC 3000",medium
sydney,Listed company,sydney-cip,Centuria Industrial REIT,Financial Services,"Level 41, Chifley Tower, 2 Chifley Square, Sydney NSW 2000",medium
sydney,Listed company,sydney-clw,Charter Hall Long WALE REIT,Financial Services,"Level 20, No.1 Martin Place, Sydney NSW 2000",high
sydney,Listed company,sydney-cqr,Charter Hall Retail REIT,Financial Services,"Level 20, No.1 Martin Place, Sydney NSW 2000",high
sydney,Listed company,sydney-dro,Droneshield,Industrial Manufacturing,"126 Phillip Street, Sydney NSW 2000",google_maps
sydney,Listed company,sydney-edv,Endeavour Group,Consumer & Retail,"26 Waterloo Street, Surry Hills NSW 2010",high
sydney,Listed company,sydney-eos,Electro Optic Systems Holdings,Industrial Manufacturing,"18 Wormald Street, Symonston ACT 2609",medium
sydney,Listed company,sydney-evt,EVT,"Technology, Media & Telecom","Level 20, 227 Elizabeth Street, Sydney NSW 2000",medium
sydney,Listed company,sydney-hdn,HomeCo Daily Needs REIT,Financial Services,"Level 27, 20 Bond Street, Sydney NSW 2000",medium
sydney,Listed company,sydney-hub,HUB24,Financial Services,"Level 2, 7 Macquarie Place, Sydney NSW 2000",medium
sydney,Listed company,sydney-mff,MFF Capital Investments,Financial Services,"Level 36, 19 Martin Place, Sydney NSW 2000",medium
sydney,Listed company,sydney-mfg,Magellan Financial Group,Financial Services,"Level 36, 19 Martin Place, Sydney NSW 2000",medium
sydney,Listed company,sydney-mts,Metcash,Consumer & Retail,"1 Thomas Holt Drive, Macquarie Park NSW 2113",high
sydney,Listed company,sydney-mxt,Metrics Master Income Trust,Financial Services,"Level 16, 1 Martin Place, Sydney NSW 2000",google_maps
sydney,Listed company,sydney-nhf,Nib,Financial Services,"Level 1, 22 Honeysuckle Drive, Newcastle NSW 2300",high
sydney,Listed company,sydney-nic,Nickel Industries,Energy & Natural Resources,"Level 2, 66 Hunter Street, Sydney NSW 2000",verified
sydney,Listed company,sydney-pni,Pinnacle Investment Management,Financial Services,"Level 35, 60 Margaret Street, Sydney NSW 2000",medium
sydney,Listed company,sydney-ppt,Perpetual,Financial Services,"Level 18, Angel Place, 123 Pitt Street, Sydney NSW 2000",high
sydney,Listed company,sydney-qub,Qube Holdings,Industrial Manufacturing,"Level 27, 45 Clarence Street, Sydney NSW 2000",medium
sydney,Listed company,sydney-rdx,Redox,Industrial Manufacturing,"2 Swettenham Road, Minto NSW 2566",high
sydney,Listed company,sydney-rgn,Region Group,Financial Services,"Level 4, 50 Pitt Street, Sydney NSW 2000",medium
sydney,Listed company,sydney-rwc,Reliance Worldwide Corporation,Industrial Manufacturing,"25 Downard Street, Braeside VIC 3195",google_maps
sydney,Listed company,sydney-sdf,Steadfast Group,Financial Services,"Level 3, 99 Bathurst Street, Sydney NSW 2000",medium
sydney,Listed company,sydney-sgh,SGH,Industrial Manufacturing,"Level 30, 175 Liverpool Street, Sydney NSW 2000",medium
sydney,Listed company,sydney-sgm,Sims Metal,Energy & Natural Resources,"Level 9, 189 O'Riordan Street, Mascot NSW 2020",verified
sydney,Listed company,sydney-sol,Soul Patts,Financial Services,"Level 14, 151 Clarence Street, Sydney NSW 2000",medium
sydney,Listed company,sydney-vnt,Ventia Services Group,Industrial Manufacturing,"Level 8, 80 Pacific Highway, North Sydney NSW 2060",medium
sydney,Listed company,sydney-wam,WAM Capital,Financial Services,"Level 26, Governor Phillip Tower, 1 Farrer Place, Sydney NSW 2000",medium
sydney,Listed company,sydney-whc,Whitehaven Coal,Energy & Natural Resources,"Level 28, 259 George Street, Sydney NSW 2000",medium
sydney,Listed company,sydney-wle,WAM Leaders,Financial Services,"Level 26, Governor Phillip Tower, 1 Farrer Place, Sydney NSW 2000",medium
sydney,Listed company,sydney-yal,Yancoal Australia,Energy & Natural Resources,"Level 18, Darling Park Tower 2, 201 Sussex Street, Sydney NSW 2000",google_maps
sydney,Listed company,sydney-zip,Zip,Financial Services,"Level 14, 10 Spring Street, Sydney NSW 2000",high
sydney,Federal agency,aps-australian-securities-and-investments-commission,Australian Securities and Investments Commission,Government,"Level 5, 100 Market Street, Sydney NSW 2000",high
sydney,Federal agency,aps-australian-prudential-regulation-authority,Australian Prudential Regulation Authority,Government,"Level 12, 1 Martin Place, Sydney NSW 2000",high
sydney,Federal agency,aps-reserve-bank-of-australia,Reserve Bank of Australia,Government,"65 Martin Place, Sydney NSW 2000",high
sydney,State agency,nsw-gov-premier-s-department,Premier's Department,Government,"52 Martin Place, Sydney NSW 2000",high
sydney,State agency,nsw-gov-the-cabinet-office,The Cabinet Office,Government,"52 Martin Place, Sydney NSW 2000",high
sydney,State agency,nsw-gov-department-of-communities-and-justice,Department of Communities and Justice,Government,"6 Parramatta Square, 10 Darcy Street, Parramatta NSW 2150",medium
sydney,State agency,nsw-gov-department-of-customer-service,Department of Customer Service,Government,"McKell Building, 2-24 Rawson Place, Haymarket NSW 2000",high
sydney,State agency,nsw-gov-department-of-education,Department of Education,Government,"105 Phillip Street, Parramatta NSW 2150",high
sydney,State agency,nsw-gov-department-of-planning-housing-and-infrastructure,"Department of Planning, Housing and Infrastructure",Government,"4 Parramatta Square, 12 Darcy Street, Parramatta NSW 2150",high
sydney,State agency,nsw-gov-department-of-primary-industries-and-regional-development,Department of Primary Industries and Regional Development,Government,"161 Kite Street, Orange NSW 2800",high
sydney,State agency,nsw-gov-nsw-health,NSW Health,Government,"1 Reserve Road, St Leonards NSW 2065",high
sydney,State agency,nsw-gov-transport-for-nsw,Transport for NSW,Government,"231 Elizabeth Street, Sydney NSW 2000",medium
sydney,State agency,nsw-gov-nsw-treasury,NSW Treasury,Government,"52 Martin Place, Sydney NSW 2000",high
sydney,State agency,nsw-gov-nsw-police-force,NSW Police Force,Government,"1 Charles Street, Parramatta NSW 2150",high
sydney,State agency,nsw-gov-fire-and-rescue-nsw,Fire and Rescue NSW,Government,"1 Amarina Avenue, Greenacre NSW 2190",high
sydney,State agency,nsw-gov-nsw-rural-fire-service,NSW Rural Fire Service,Government,"4 Murray Rose Avenue, Sydney Olympic Park NSW 2127",high
sydney,State agency,nsw-gov-nsw-ambulance,NSW Ambulance,Government,"10 Dawn Fraser Avenue, Sydney Olympic Park NSW 2127",google_maps
sydney,State agency,nsw-gov-nsw-state-emergency-service,NSW State Emergency Service,Government,"93 Burelli Street, Wollongong NSW 2500",high
sydney,State agency,nsw-gov-corrective-services-nsw,Corrective Services NSW,Government,"Henry Deane Building, 20 Lee Street, Sydney NSW 2000",medium
sydney,State agency,nsw-gov-youth-justice-nsw,Youth Justice NSW,Government,"6 Parramatta Square, 10 Darcy Street, Parramatta NSW 2150",verified
sydney,State agency,nsw-gov-legal-aid-nsw,Legal Aid NSW,Government,"323 Castlereagh Street, Haymarket NSW 2000",high
sydney,State agency,nsw-gov-office-of-the-director-of-public-prosecutions,Office of the Director of Public Prosecutions,Government,"175 Liverpool Street, Sydney NSW 2000",high
sydney,State agency,nsw-gov-nsw-trustee-and-guardian,NSW Trustee and Guardian,Government,"160 Marsden Street, Parramatta NSW 2150",medium
sydney,State agency,nsw-gov-crown-solicitor-s-office,Crown Solicitor's Office,Government,"60-70 Elizabeth Street, Sydney NSW 2000",high
sydney,State agency,nsw-gov-service-nsw,Service NSW,Government,"McKell Building, 2-24 Rawson Place, Haymarket NSW 2000",high
sydney,State agency,nsw-gov-revenue-nsw,Revenue NSW,Government,"132 Marsden Street, Parramatta NSW 2150",medium
sydney,State agency,nsw-gov-tafe-nsw,TAFE NSW,Government,"28 Smail Street, Ultimo NSW 2007",user_provided
sydney,State agency,nsw-gov-nsw-education-standards-authority,NSW Education Standards Authority,Government,"117 Clarence Street, Sydney NSW 2000",high
sydney,State agency,nsw-gov-sydney-local-health-district,Sydney Local Health District,Government,"Level 11, King George V Building, 83 Missenden Road, Camperdown NSW 2050",medium
sydney,State agency,nsw-gov-south-eastern-sydney-local-health-district,South Eastern Sydney Local Health District,Government,"Cnr The Kingsway and Kareena Road, Caringbah NSW 2229",google_maps
sydney,State agency,nsw-gov-western-sydney-local-health-district,Western Sydney Local Health District,Government,"Westmead Hospital, Cnr Hawkesbury Road and Darcy Road, Westmead NSW 2145",medium
sydney,State agency,nsw-gov-south-western-sydney-local-health-district,South Western Sydney Local Health District,Government,"Liverpool Hospital, Cnr Elizabeth and Goulburn Streets, Liverpool NSW 2170",medium
sydney,State agency,nsw-gov-northern-sydney-local-health-district,Northern Sydney Local Health District,Government,"Royal North Shore Hospital, Reserve Road, St Leonards NSW 2065",medium
sydney,State agency,nsw-gov-nepean-blue-mountains-local-health-district,Nepean Blue Mountains Local Health District,Government,"Nepean Hospital, Derby Street, Kingswood NSW 2747",medium
sydney,State agency,nsw-gov-hunter-new-england-local-health-district,Hunter New England Local Health District,Government,"Lookout Road, New Lambton Heights NSW 2305",medium
sydney,State agency,nsw-gov-ehealth-nsw,eHealth NSW,Government,"1 Reserve Road, St Leonards NSW 2065",high
sydney,State agency,nsw-gov-healthshare-nsw,HealthShare NSW,Government,"1 Reserve Road, St Leonards NSW 2065",medium
sydney,State agency,nsw-gov-nsw-health-pathology,NSW Health Pathology,Government,"Level 5, 1 Reserve Road, St Leonards NSW 2065",user_provided
sydney,State agency,nsw-gov-health-infrastructure,Health Infrastructure,Government,"1 Reserve Road, St Leonards NSW 2065",medium
sydney,State agency,nsw-gov-cancer-institute-nsw,Cancer Institute NSW,Government,"1 Reserve Road, St Leonards NSW 2065",medium
sydney,State agency,nsw-gov-clinical-excellence-commission,Clinical Excellence Commission,Government,"1 Reserve Road, St Leonards NSW 2065",medium
sydney,State agency,nsw-gov-sydney-trains,Sydney Trains,Government,"477 Pitt Street, Sydney NSW 2000",high
sydney,State agency,nsw-gov-nsw-trains,NSW Trains,Government,"477 Pitt Street, Sydney NSW 2000",medium
sydney,State agency,nsw-gov-nsw-environment-protection-authority,NSW Environment Protection Authority,Government,"6 Parramatta Square, 10 Darcy Street, Parramatta NSW 2150",medium
sydney,State agency,nsw-gov-national-parks-and-wildlife-service,National Parks and Wildlife Service,Government,"4 Parramatta Square, 12 Darcy Street, Parramatta NSW 2150",verified
sydney,State agency,nsw-gov-local-land-services,Local Land Services,Government,"161 Kite Street, Orange NSW 2800",medium
sydney,State agency,nsw-gov-nsw-reconstruction-authority,NSW Reconstruction Authority,Government,"Level 11, 100 Mount Street, North Sydney NSW 2060",user_provided
sydney,State agency,nsw-gov-landcom,Landcom,Government,"Level 14, 60 Station Street, Parramatta NSW 2150",medium
sydney,State agency,nsw-gov-property-and-development-nsw,Property and Development NSW,Government,"Foreshore House, 66 Harrington Street, The Rocks NSW 2000",google_maps
sydney,State agency,nsw-gov-sydney-water,Sydney Water,Government,"1 Smith Street, Parramatta NSW 2150",high
sydney,State agency,nsw-gov-hunter-water,Hunter Water,Government,"36 Honeysuckle Drive, Newcastle NSW 2300",high
sydney,State agency,nsw-gov-waternsw,WaterNSW,Government,"169 Macquarie Street, Parramatta NSW 2150",medium
sydney,State agency,nsw-gov-essential-energy,Essential Energy,Government,"8 Buller Street, Port Macquarie NSW 2444",high
sydney,State agency,nsw-gov-forestry-corporation-of-nsw,Forestry Corporation of NSW,Government,"121-131 Oratava Avenue, West Pennant Hills NSW 2125",high
sydney,State agency,nsw-gov-icare-nsw,icare NSW,Government,"321 Kent Street, Sydney NSW 2000",high
sydney,State agency,nsw-gov-state-insurance-regulatory-authority,State Insurance Regulatory Authority,Government,"Level 14-15, 231 Elizabeth Street, Sydney NSW 2000",google_maps
sydney,State agency,nsw-gov-independent-pricing-and-regulatory-tribunal,Independent Pricing and Regulatory Tribunal,Government,"Level 16, McKell Building, 2-24 Rawson Place, Haymarket NSW 2000",medium
sydney,State agency,nsw-gov-audit-office-of-new-south-wales,Audit Office of New South Wales,Government,"Level 19, Darling Park Tower 2, 201 Sussex Street, Sydney NSW 2000",high
sydney,State agency,nsw-gov-independent-commission-against-corruption,Independent Commission Against Corruption,Government,"Level 7, 255 Elizabeth Street, Sydney NSW 2000",high
sydney,State agency,nsw-gov-nsw-electoral-commission,NSW Electoral Commission,Government,"Level 25, 201 Kent Street, Sydney NSW 2000",high
sydney,State agency,nsw-gov-destination-nsw,Destination NSW,Government,"88 Cumberland Street, The Rocks NSW 2000",google_maps
sydney,State agency,nsw-gov-create-nsw,Create NSW,Government,"Level 5, 323 Castlereagh Street, Haymarket NSW 2000",google_maps
sydney,State agency,nsw-gov-sydney-opera-house,Sydney Opera House,Government,"Bennelong Point, Sydney NSW 2000",high
sydney,State agency,nsw-gov-art-gallery-of-new-south-wales,Art Gallery of New South Wales,Government,"Art Gallery Road, The Domain, Sydney NSW 2000",high
sydney,State agency,nsw-gov-australian-museum,Australian Museum,Government,"1 William Street, Sydney NSW 2010",high
sydney,State agency,nsw-gov-state-library-of-new-south-wales,State Library of New South Wales,Government,"1 Shakespeare Place, Sydney NSW 2000",high
sydney,State agency,nsw-gov-museums-of-history-nsw,Museums of History NSW,Government,"The Mint, 10 Macquarie Street, Sydney NSW 2000",medium
sydney,State agency,nsw-gov-aboriginal-affairs-nsw,Aboriginal Affairs NSW,Government,"Level 6, 201 Coward Street, Mascot NSW 2020",google_maps
sydney,State agency,nsw-gov-multicultural-nsw,Multicultural NSW,Government,"Level 8, 56 Station Street East, Harris Park NSW 2150",google_maps
sydney,Private company,priv-pallion,Pallion,Precious metals refining,"8/10 Meeks Road, Marrickville NSW 2204",google_maps
sydney,Private company,priv-hcf,HCF,Private health insurance,"403 George Street, Sydney NSW 2000",high
sydney,Private company,priv-st-vincent-s-health-australia,St Vincent's Health Australia,Hospitals & aged care,"Level 22, 100 Miller Street, North Sydney NSW 2060",user_provided
sydney,Private company,priv-ngp-group,NGP Group,Consumer & Retail,"Level 2, 10 Neild Avenue, Rushcutters Bay NSW 2011",user_provided
sydney,Private company,priv-ghd,GHD,Engineering consultancy,"Level 15, 133 Castlereagh Street, Sydney NSW 2000",high
sydney,Private company,priv-ateco,Ateco,Automotive distribution,"2a Hill Road, Lidcombe NSW 2141",google_maps
sydney,Private company,priv-ey,EY,Professional services,"200 George Street, Sydney NSW 2000",high
sydney,Private company,priv-deloitte-touche-tohmatsu,Deloitte Touche Tohmatsu,Professional services,"Quay Quarter Tower, 50 Bridge Street, Sydney NSW 2000",high
sydney,Private company,priv-meriton,Meriton,Property development,"Level 11, 528 Kent Street, Sydney NSW 2000",high
sydney,Private company,priv-pwc-australia,PwC Australia,Professional services,"One International Towers, Watermans Quay, Barangaroo NSW 2000",high
sydney,Private company,priv-manildra-group,Manildra Group,Agri processing,"29 Tavistock Street, Auburn NSW 2144",google_maps
sydney,Private company,priv-ausgrid,Ausgrid,Electricity distribution,"24-28 Campbell Street, Haymarket NSW 2000",high
sydney,Private company,priv-built,Built,Commercial construction,"Level 1, 30 The Bond, 30 Hickson Road, Millers Point NSW 2000",medium
sydney,Private company,priv-competitive-foods,Competitive Foods,Quick service restaurants,"25 Bellarine Highway, East Geelong VIC 3219",google_maps
sydney,Private company,priv-kpmg,KPMG,Professional services,"Tower Three, International Towers Sydney, 300 Barangaroo Avenue, Sydney NSW 2000",high
sydney,Private company,priv-suttons-motors,Suttons Motors,Automotive retail,"Cnr Parramatta Road and Short Street, Homebush NSW 2140",medium
sydney,Private company,priv-calvary-health-care,Calvary Health Care,Hospitals & aged care,"Level 12, 15 Moore Street, Canberra ACT 2601",medium
sydney,Private company,priv-baiada-poultry,Baiada Poultry,Poultry production,"642 Great Western Highway, Girraween NSW 2145",google_maps
sydney,Private company,priv-midfield,Midfield,Meat processing,"McMeekin Road, Warrnambool VIC 3280",google_maps
sydney,Private company,priv-richard-crookes-constructions,Richard Crookes Constructions,Commercial construction,"Level 3, 4 Broadcast Way, Artarmon NSW 2064",medium
sydney,Private company,priv-fdc,Fdc,Commercial construction,"22 Ross Street, Glebe NSW 2037",medium
sydney,Private company,priv-uniting,Uniting,Aged & community care,"222 Pitt Street, Sydney NSW 2000",google_maps
sydney,Private company,priv-adco-constructions,ADCO Constructions,Commercial construction,"Level 2, 7-9 West Street, North Sydney NSW 2060",medium
sydney,Private company,priv-opal-aged-care,Opal Aged Care,Aged care,"Level 11, 420 George Street, Sydney NSW 2000",medium
sydney,Private company,priv-herbert-smith-freehills,Herbert Smith Freehills,Legal services,"ANZ Tower, 161 Castlereagh Street, Sydney NSW 2000",high
sydney,Private company,priv-refuelling-solutions,Refuelling Solutions,Fuel distribution,"2/2 Parramatta Road, Underwood QLD 4119",google_maps
sydney,Private company,priv-australian-panels,Australian Panels,Timber panel manufacturing,"1 Wella Way, Somersby NSW 2250",medium
sydney,Private company,priv-winning-appliances,Winning Appliances,Appliance retail,"20A Danks Street, Redfern NSW 2016",google_maps
sydney,Private company,priv-ati-global,ATI Global,Consumer & Retail,"Level 8, 135 King Street, Sydney NSW 2000",user_provided
